iterations:7270.0 loss:3.27881
iterations:7280.0 loss:3.53225
iterations:7290.0 loss:3.44113
iterations:7300.0 loss:3.55482
iterations:7310.0 loss:3.6693
iterations:7320.0 loss:3.51211
iterations:7330.0 loss:3.21561
iterations:7340.0 loss:3.08569
iterations:7350.0 loss:3.44642
iterations:7360.0 loss:3.33815
iterations:7370.0 loss:3.36096
iterations:7380.0 loss:3.56845
iterations:7390.0 loss:3.27918
iterations:7400.0 loss:3.08217
iterations:7410.0 loss:3.49362
iterations:7420.0 loss:3.35533
iterations:7430.0 loss:3.58054
iterations:7440.0 loss:3.38562
iterations:7450.0 loss:3.49081
iterations:7460.0 loss:3.1128
iterations:7470.0 loss:3.22491
iterations:7480.0 loss:3.4759
iterations:7490.0 loss:3.34891
iterations:7500.0 loss:3.37598
iterations:7510.0 loss:3.06785
iterations:7520.0 loss:3.08404
iterations:7530.0 loss:3.48437
iterations:7540.0 loss:3.3429
iterations:7550.0 loss:3.5275
iterations:7560.0 loss:3.26208
iterations:7570.0 loss:3.34747
iterations:7580.0 loss:3.45187
iterations:7590.0 loss:3.20943
iterations:7600.0 loss:3.32054
iterations:7610.0 loss:3.63331
iterations:7620.0 loss:3.58686
iterations:7630.0 loss:3.45497
iterations:7640.0 loss:3.41512
iterations:7650.0 loss:3.27124
iterations:7660.0 loss:3.40358
iterations:7670.0 loss:3.42292
iterations:7680.0 loss:3.13888
iterations:7690.0 loss:3.26709
iterations:7700.0 loss:3.22345
iterations:7710.0 loss:3.48048
iterations:7720.0 loss:3.44667
iterations:7730.0 loss:3.46773
iterations:7740.0 loss:3.37508
iterations:7750.0 loss:3.60192
iterations:7760.0 loss:3.45112
iterations:7770.0 loss:3.33616
iterations:7780.0 loss:3.34119
iterations:7790.0 loss:3.59956
iterations:7800.0 loss:3.31284
iterations:7810.0 loss:3.55221
iterations:7820.0 loss:3.53838
iterations:7830.0 loss:3.46405
iterations:7840.0 loss:3.40953
iterations:7850.0 loss:3.23727
iterations:7860.0 loss:3.34556
iterations:7870.0 loss:3.12635
iterations:7880.0 loss:3.7086
iterations:7890.0 loss:3.2391
iterations:7900.0 loss:3.39336
iterations:7910.0 loss:2.95396
iterations:7920.0 loss:3.21081
iterations:7930.0 loss:3.33969
iterations:7940.0 loss:3.28671
iterations:7950.0 loss:3.4957
iterations:7960.0 loss:3.71457
iterations:7970.0 loss:3.5785
iterations:7980.0 loss:3.24754
iterations:7990.0 loss:3.24992
iterations:8000.0 loss:3.08506
iterations:8010.0 loss:3.34515
iterations:8020.0 loss:3.50376
iterations:8030.0 loss:2.93136
iterations:8040.0 loss:3.17239
iterations:8050.0 loss:3.38318
iterations:8060.0 loss:3.35968
iterations:8070.0 loss:3.41769
iterations:8080.0 loss:3.52864
iterations:8090.0 loss:3.37154
iterations:8100.0 loss:3.31814
iterations:8110.0 loss:3.0922
iterations:8120.0 loss:3.21192
iterations:8130.0 loss:3.53652
iterations:8140.0 loss:3.34371
iterations:8150.0 loss:3.32045
iterations:8160.0 loss:3.2261
iterations:8170.0 loss:3.36763
iterations:8180.0 loss:3.34537
iterations:8190.0 loss:3.5824
iterations:8200.0 loss:3.07132
iterations:8210.0 loss:3.51513
iterations:8220.0 loss:3.41089
iterations:8230.0 loss:3.52936
iterations:8240.0 loss:3.65881
iterations:8250.0 loss:3.46619
iterations:8260.0 loss:3.29461
iterations:8270.0 loss:3.50392
iterations:8280.0 loss:3.51455
